hex,built,capacity_cph
87274ab08ffffff,0,0
87274ab09ffffff,0,0
87274ab0bffffff,0,0
87274ab56ffffff,0,0
87274ab52ffffff,0,0
87274ab53ffffff,0,0
87274aa2cffffff,0,0
87274aa2dffffff,0,0
87274aa29ffffff,0,0
87274aa76ffffff,0,0
87274aa72ffffff,0,0
87274aa54ffffff,0,0
87274aa50ffffff,0,0
87274aa53ffffff,0,0
87274aaedffffff,0,0
87274aae9ffffff,0,0
87274bdb6ffffff,0,0
87274bdb2ffffff,0,0
87274aac9ffffff,0,0
87274bd94ffffff,0,0
87274bd96ffffff,0,0
87274bd90ffffff,0,0
87274bd92ffffff,0,0
87274a36cffffff,0,0
87274a368ffffff,0,0
87274a36bffffff,0,0
87274bcb6ffffff,0,0
87274bcb2ffffff,0,0
87274bc94ffffff,1,1
87274bc90ffffff,0,0
87274bc93ffffff,0,0
87274bc91ffffff,0,0
87274bc9effffff,0,0
87274bc98ffffff,0,0
87274bc9affffff,0,0
87274bc9bffffff,0,0
87274b535ffffff,0,0
87274b522ffffff,0,0
87274b504ffffff,0,0
87274b500ffffff,0,0
87274b503ffffff,0,0
87274b501ffffff,0,0
87274b50effffff,0,0
87274b508ffffff,0,0
87274b50dffffff,0,0
87274b509ffffff,0,0
87274b556ffffff,0,0
87274b550ffffff,0,0
87274b553ffffff,0,0
87274b42dffffff,1,1
87274b55affffff,0,0
87274b474ffffff,0,0
87274b470ffffff,0,0
87274b473ffffff,1,1
87274b455ffffff,0,0
87274b442ffffff,0,0
87274b451ffffff,0,0
87274b45cffffff,0,0
87274b458ffffff,0,0
87274b45dffffff,0,0
87274b44affffff,0,0
87274b44bffffff,0,0
87274b716ffffff,0,0
87274b712ffffff,0,0
87274b713ffffff,0,0
87274b7adffffff,0,0
87274b7a9ffffff,0,0
87274b634ffffff,0,0
87274b630ffffff,0,0
87274b614ffffff,0,0
87274b610ffffff,0,0
87274b613ffffff,0,0
87274b61effffff,0,0
87274b61affffff,0,0
87274b61bffffff,0,0
87274b6f5ffffff,0,0
87274b6e2ffffff,1,1
87274b6f1ffffff,0,0
87274b6c4ffffff,0,0
87274b6c0ffffff,0,0
87274b6c1ffffff,0,0
87274b6ceffffff,0,0
87274b6c8ffffff,0,0
87274b6cbffffff,0,0
872665d65ffffff,0,0
872665992ffffff,0,0
872665d6cffffff,0,0
872665d6dffffff,0,0
872665d69ffffff,0,0
8726658b4ffffff,0,0
8726658b6ffffff,0,0
8726658b0ffffff,0,0
8726658b3ffffff,0,0
872665895ffffff,0,0
872665882ffffff,1,1
872665880ffffff,0,0
872665881ffffff,0,0
87266588cffffff,0,0
872665888ffffff,0,0
872665889ffffff,0,0
87266588bffffff,0,0
8726658d6ffffff,0,0
8726658d2ffffff,0,0
8726658d3ffffff,0,0
87266512dffffff,0,0
8726658daffffff,0,0
872665174ffffff,0,0
872665175ffffff,0,0
872665171ffffff,0,0
872665144ffffff,0,0
872665140ffffff,0,0
872665143ffffff,0,0
87266514effffff,0,0
87266514affffff,0,0
872665064ffffff,0,0
872665065ffffff,0,0
872665060ffffff,0,0
872665061ffffff,0,0
87266506effffff,0,0
872665068ffffff,0,0
87266506affffff,0,0
87266506bffffff,0,0
87266504dffffff,0,0
872665049ffffff,0,0
872665314ffffff,0,0
872665310ffffff,1,1
872665311ffffff,0,0
87266531cffffff,0,0
872665318ffffff,0,0
872665319ffffff,0,0
872665226ffffff,0,0
872665220ffffff,0,0
872665223ffffff,0,0
872665204ffffff,0,0
872665205ffffff,0,0
872665200ffffff,0,0
872665203ffffff,0,0
87266521dffffff,0,0
87266520affffff,0,0
8726652e4ffffff,0,0
8726652e0ffffff,0,0
8726652e1ffffff,0,0
8726652e3ffffff,0,0
8726652eeffffff,1,1
8726652eaffffff,0,0
8726652ccffffff,0,0
8726652cdffffff,0,0
8726652c9ffffff,0,0
872a92596ffffff,0,0
872a92590ffffff,0,0
872a92593ffffff,0,0
87266196dffffff,0,0
872a9259affffff,0,0
872661969ffffff,0,0
872a924b4ffffff,0,0
872a924b0ffffff,0,0
872a924b3ffffff,0,0
872a92486ffffff,0,0
872a92482ffffff,0,0
872a92483ffffff,0,0
872a9249dffffff,0,0
872a9248affffff,0,0
872a92499ffffff,0,0
872661b24ffffff,0,0
872661b20ffffff,1,1
872661b23ffffff,0,0
872661b2effffff,0,0
872661b05ffffff,0,0
872661b2affffff,0,0
872661b0cffffff,0,0
872661b0dffffff,0,0
872661b08ffffff,0,0
872661b09ffffff,0,0
872661b56ffffff,0,0
872661a25ffffff,1,1
872661b52ffffff,0,0
872661a2cffffff,0,0
872661a2dffffff,0,0
872661a29ffffff,0,0
872661b5affffff,0,0
872661a74ffffff,0,0
872661a75ffffff,0,0
872661a71ffffff,0,0
872661a62ffffff,0,0
872661a44ffffff,0,0
872661a45ffffff,0,0
872661a41ffffff,0,0
872661a4cffffff,0,0
872661a48ffffff,0,0
872661a49ffffff,0,0
87266cd16ffffff,0,0
87266cd14ffffff,0,0
87266cd10ffffff,0,0
87266cd11ffffff,0,0
87266cd1effffff,0,0
87266cd18ffffff,0,0
87266cd1bffffff,1,1
87266cd19ffffff,0,0
87266cc26ffffff,0,0
87266cc20ffffff,0,0
87266cc21ffffff,0,0
87266cc2cffffff,0,0
87266cc28ffffff,0,0
87266cc2bffffff,0,0
87266cc76ffffff,0,0
87266cc72ffffff,0,0
87266cc09ffffff,0,0
87266cc56ffffff,0,0
87266cc50ffffff,0,0
87266cc53ffffff,0,0
87266cc5effffff,0,0
87266cc5affffff,0,0
87266c1b4ffffff,0,0
87266cc5bffffff,0,0
87274b449ffffff,0,0
87274b55effffff,0,0
87274b554ffffff,0,0
87274ab0cffffff,0,0
87274ab2affffff,0,0
87274ab28ffffff,0,0
87274ab2effffff,0,0
87274ab2cffffff,0,0
8727484d2ffffff,0,0
87274ab25ffffff,0,0
87274848bffffff,0,0
872748489ffffff,0,0
872748488ffffff,0,0
87274848dffffff,0,0
8727484f6ffffff,0,0
8727484f0ffffff,0,0
8727484f4ffffff,0,0
87274841affffff,0,0
872748418ffffff,0,0
87274841cffffff,0,0
872748403ffffff,0,0
872748400ffffff,0,0
872748405ffffff,1,1
87274842effffff,0,0
87274842cffffff,0,0
872748552ffffff,0,0
872748550ffffff,0,0
872748421ffffff,0,0
872748402ffffff,0,0
872748411ffffff,0,0
872748413ffffff,0,0
8727484adffffff,0,0
8727484a9ffffff,0,0
872748556ffffff,0,0
872748423ffffff,0,0
872748404ffffff,0,0
872748415ffffff,0,0
872748555ffffff,0,0
872748542ffffff,0,0
872748540ffffff,0,0
872748545ffffff,0,0
87274856effffff,0,0
872748568ffffff,0,0
87274856cffffff,0,0
87274856dffffff,0,0
87274819effffff,0,0
87274819cffffff,0,0
872748183ffffff,0,0
872748181ffffff,0,0
8727481aaffffff,0,0
8727481aeffffff,0,0
8727481acffffff,0,0
8727481adffffff,0,0
872748113ffffff,0,0
87274811effffff,0,0
87274811cffffff,0,0
872748103ffffff,0,0
87274810effffff,0,0
872748101ffffff,0,0
87274812affffff,0,0
87274812bffffff,0,0
872748129ffffff,0,0
